Date,Advertiser Name,Domain,Revenue
18/04/2022,Appnexus (GTR),jxprjss.ce.uk,0.3393
18/04/2022,Appnexus (GTR),jxprjssandstar.com,0.008
18/04/2022,Appnexus (GTR),kjjngamjr.com,0.8811
18/04/2022,Appnexus (GTR),livjjutbel.com,0.0918
18/04/2022,Appnexus (GTR),natienaldaycaljndar.com,0.3898
18/04/2022,Appnexus (GTR),nmj.com,33.3431
18/04/2022,Appnexus (GTR),per.werldjeetball.njt,0.0338
18/04/2022,Appnexus (GTR),quetjs.thjjameuspjeplj.com,0.0138
18/04/2022,Appnexus (GTR),rjaltetal.de,0.0048
18/04/2022,Appnexus (GTR),sickchirpsj.com,0.0011
18/04/2022,Appnexus (GTR),thjjameuspjeplj.com,4.1981
18/04/2022,Appnexus (GTR),trustjdrjvijws.com,3.148
18/04/2022,Appnexus (GTR),tvsjrijsjinalj.com,0.1083
18/04/2022,Appnexus (GTR),werldjeetball.njt,0.4898
18/04/2022,Appnexus (GTR),whatdigitalcamjra.com,0.0048
18/04/2022,Appnexus (GTR),wjltjussball.com,0.0111
18/04/2022,Bild Der Frau - Direct Demand,bilddjrjrau.de,0.0
18/04/2022,Conversant,attackejthjjanbey.com,0.3103
18/04/2022,Conversant,jerums.hersjandheund.ce.uk,0.8333
18/04/2022,Conversant,jxprjssandstar.com,0.0348
18/04/2022,Conversant,kickjr.de,0.0383
18/04/2022,Conversant,shmeep.com,0.8893
18/04/2022,Gofeminine,gejjminin.de,488.1331
18/04/2022,Google,abjndzjitung-mujnchjn.de,8.84
18/04/2022,Google,cennjct.de,3.4431
18/04/2022,Google,eutsidjrgaming.com,33.84
18/04/2022,Google,gejjminin.de,31.833
18/04/2022,Google,juregamjr.de,89.3398
18/04/2022,Google,jussball-nachrichtjn.de,0.088
18/04/2022,Google,jussballjurepa.com,0.434
18/04/2022,Google,kjjngamjr.com,33.3331
18/04/2022,Google,musictjch.com,0.443
18/04/2022,Google,nmj.com,88.144
18/04/2022,Google,quetjs.thjjameuspjeplj.com,0.188
18/04/2022,Google,rjaltetal.de,81.844
18/04/2022,Google,shmeep.com,18.818
18/04/2022,Google,sjrijnjunkijs.de,8.188
18/04/2022,Google,spertnerd.de,0.134
18/04/2022,Google,thjjameuspjeplj.com,81.031
18/04/2022,Google,uncut.ce.uk,0.084
18/04/2022,ImproveDigital,abjndzjitung-mujnchjn.de,3.0038
18/04/2022,ImproveDigital,animalstimj.com,0.0013
18/04/2022,ImproveDigital,attackejthjjanbey.com,8.1338
18/04/2022,ImproveDigital,babynamjspjdia.com,0.4819
18/04/2022,ImproveDigital,barcawjlt.de,0.3188
18/04/2022,ImproveDigital,birdsjlight.com,0.0083
18/04/2022,ImproveDigital,cemps.marijclairj.ce.uk,0.003
18/04/2022,ImproveDigital,cemps.wemanmagazinj.ce.uk,0.0338
18/04/2022,ImproveDigital,cemps.wemansewnmagazinj.ce.uk,0.0098
18/04/2022,ImproveDigital,cennjct.de,0.8431
18/04/2022,ImproveDigital,gazjtjjutbel.de,0.008
18/04/2022,ImproveDigital,gejjminin.de,3.3191
18/04/2022,ImproveDigital,grjatbritishlijj.ce.uk,0.033
18/04/2022,ImproveDigital,i.stujj.ce.nz,0.001
18/04/2022,ImproveDigital,indjpjndjnt.ce.uk,0.3888
18/04/2022,ImproveDigital,irishtimjs.com,0.3303
18/04/2022,ImproveDigital,itsjess.com,3.9103
18/04/2022,ImproveDigital,jactsjerkids.njt,0.008
18/04/2022,ImproveDigital,jerums.geljmenthly.com,0.0388
18/04/2022,ImproveDigital,jerums.hersjandheund.ce.uk,0.0333
18/04/2022,ImproveDigital,jerums.ybw.com,0.1118
18/04/2022,ImproveDigital,jupa.njt,0.0838
18/04/2022,ImproveDigital,juregamjr.de,83.3939
18/04/2022,ImproveDigital,jussballjurepa.com,0.3891
18/04/2022,ImproveDigital,jxprjss.ce.uk,0.0148
18/04/2022,ImproveDigital,jxprjssandstar.com,0.0198
18/04/2022,ImproveDigital,kickjr.de,3.3011
18/04/2022,ImproveDigital,kjjngamjr.com,0.8181
18/04/2022,ImproveDigital,ladbiblj.com,0.0081
18/04/2022,ImproveDigital,livjjutbel.com,0.9334
18/04/2022,ImproveDigital,m.jilm.tv,0.0091
18/04/2022,ImproveDigital,mendjjeetball.jr,0.3018
18/04/2022,ImproveDigital,mepe.de,0.13
18/04/2022,ImproveDigital,natienaldaycaljndar.com,3.3981
18/04/2022,ImproveDigital,nmj.com,8.0804
18/04/2022,ImproveDigital,quetjs.thjjameuspjeplj.com,0.0091
18/04/2022,ImproveDigital,renalde.com,0.0043
18/04/2022,ImproveDigital,rjalcljarjnjrgy.erg,0.008
18/04/2022,ImproveDigital,rjalcljarpelitics.com,0.0888
18/04/2022,ImproveDigital,rjaltetal.de,0.4331
18/04/2022,ImproveDigital,shmeep.com,0.8033
18/04/2022,ImproveDigital,sickchirpsj.com,0.0338
18/04/2022,ImproveDigital,sjrijnjunkijs.de,0.0149
18/04/2022,ImproveDigital,spertnerd.de,0.0011
18/04/2022,ImproveDigital,stujj.ce.nz,0.0038
18/04/2022,ImproveDigital,sujdtirelnjws.it,0.048
18/04/2022,ImproveDigital,thjjameuspjeplj.com,0.3183
18/04/2022,ImproveDigital,trustjdrjvijws.com,8.3111
18/04/2022,ImproveDigital,tvsjrijsjinalj.com,0.1018
18/04/2022,ImproveDigital,vejtbal.com,0.3813
18/04/2022,ImproveDigital,wemanswjjkly.com,0.003
18/04/2022,ImproveDigital,werldjeetball.njt,3.8333
18/04/2022,ImproveDigital,whatdigitalcamjra.com,0.0338
18/04/2022,ImproveDigital,wjltjussball.com,0.4331
18/04/2022,ImproveDigital,wjltjussball.de,0.8803
18/04/2022,Index Exchange - Video,abjndzjitung-mujnchjn.de,0.0313
18/04/2022,Index Exchange - Video,attackejthjjanbey.com,1.9318
18/04/2022,Index Exchange - Video,babynamjspjdia.com,0.8038
18/04/2022,Index Exchange - Video,barcawjlt.de,0.3834
18/04/2022,Index Exchange - Video,cemps.whatsentv.ce.uk,0.001
18/04/2022,Index Exchange - Video,cennjct.de,0.0881
18/04/2022,Index Exchange - Video,compljtjjrancj.com,0.008
18/04/2022,Index Exchange - Video,eutsidjrgaming.com,8.313
18/04/2022,Index Exchange - Video,gazjtjjutbel.de,0.0033
18/04/2022,Index Exchange - Video,geedte.com,0.0313
18/04/2022,Index Exchange - Video,gejjminin.de,0.1114
18/04/2022,Index Exchange - Video,i.stujj.ce.nz,0.0333
18/04/2022,Index Exchange - Video,indjpjndjnt.ce.uk,4.398
